"COMPANY NAME","ROC NO","URL","CLUSTER","ID","MARCH","YEAR"
"Telstra Global (Malaysia) Sdn Bhd","540583-W","telstra.com.au/","Global Business Services","CS/3/5570","Active","2008"
"Tenations Global Sdn Bhd","480480-T","NULL","Creative Content & Technologies","CS/3/5211","Active","2009"
"TenderDirect Sdn Bhd","537748-K","NULL","InfoTech","CS/3/566","Active","2001"
"Tentacle SSO Sdn Bhd","915636-D","NULL","Global Business Services","CS/3/8411","Active","2014"
"Tentacle Technologies MSC Sdn Bhd","598967-W","tentacletech.com","InfoTech","CS/3/2157","Active","2005"
"Teramobile Sdn Bhd","911643-T","NULL","Creative Content & Technologies","CS/3/7777","Active","2012"
"Terra Phoenix Sdn Bhd","1209684-M","icycle-global.com","InfoTech","CS/3/10504","Active","2018"
"Terrabit Consulting Sdn Bhd","878873-W","terrabit-consulting.com","Global Business Services","CS/3/6931","Active","2010"
"TESS Innovation Sdn Bhd","508613-A","tessinternational.com","InfoTech","CS/3/589","Active","2001"
"Test Tooling Designs (M) Sdn Bhd","717841-H","tts-grp.com","InfoTech","CS/3/3891","Active","2006"
"TFS Technology Sdn Bhd","1176039-H","NULL","InfoTech","CS/3/10033","Active","2016"
"TGS Perfect System Sdn Bhd","707820-K","NULL","InfoTech","CS/3/3199","Active","2006"
"TH3 Holdings Sdn Bhd","872624-U","th3.my","InfoTech","CS/3/6424","Active","2010"
"The Center of Applied Data Science Sdn Bhd","1129780-U","NULL","InfoTech","CS/3/9704","Active","2016"
"The Common Ist Sdn Bhd","868444-U","thecommonist.my","Creative Content & Technologies","CS/3/7683","Active","2013"
"The eCEOs Sdn Bhd","769744-M","eceos.com","InfoTech","CS/3/5985","Active","2009"
"The Factory MS Sdn Bhd","839542-K","thefactory.com.my","Creative Content & Technologies","CS/3/5243","Active","2008"
"The Lorry Online Sdn Bhd","1113109-U","thelorry.com","InfoTech","CS/3/10198","Active","2016"
"The Marketing Interchange Sdn Bhd","1092945-A","swiftcow.my","InfoTech","CS/3/9664","Active","2016"
"The Moxim House Sdn Bhd","730161-U","moximhouse.com","Creative Content & Technologies","CS/3/8801","Active","2015"
"The Name Technology Sdn Bhd","366217-M","tntsb.com","InfoTech","CS/3/2106","Active","2006"
"The Nielsen Company (Malaysia) Sdn Bhd","10909-V","nielsen.com","Global Business Services","CS/3/10232","Active","2016"
"The Offshore Partners Sdn Bhd","1173705-P","topworldbpo.com","Global Business Services","CS/3/9997","Active","2016"
"The One Academy of Communication Design Sdn Bhd","210547-P","theoneacademy.edu.my","IHLs & Incubators","KWD-4/14","Active","2003"
"The One Academy Penang","806958-W","toa.edu.my","IHLs & Incubators","KWD-4/165","Active","2015"
"The R&D Studio Sdn Bhd","958219-X","rnd.my","Creative Content & Technologies","CS/3/7405","Active","2014"
"THE REC ROOM SDN BHD","1136203-P","NULL","Creative Content & Technologies","CS/3/10787","Active","2017"
"The Red Flag Group Malaysia Sdn Bhd","1166103-U","redflaggroup.com","Global Business Services","CS/3/9648","Active","2016"
"The Smarter Solution Edge Sdn Bhd","1202607-H","NULL","Creative Content & Technologies","CS/3/10263","Active","2016"
"The Survey Shop (MYS) Sdn Bhd","1179393-H","NULL","InfoTech","CS/3/10192","Active","2017"
"Thelabel Ads Plus Sdn Bhd","1212824-D","NULL","Creative Content & Technologies","CS/3/10519","Active","2017"
"Theta Service Partner Sdn Bhd","482448-A","thetasp.com","InfoTech","CS/3/3828","Active","2007"
"Think Osem Sdn Bhd","1019329-D","osem.me/","InfoTech","CS/3/7863","Active","2012"
"Thinkscape Sdn Bhd","536152-D","thinkscape.com.my","Creative Content & Technologies","CS/3/2672","Active","2005"
"Thoughtnet Technology Sdn Bhd","917070-H","thoughtnet.com.my","InfoTech","CS/3/7253","Active","2012"
"Three Logic Concepts Sdn Bhd","1078448-M","three-logic.com","InfoTech","ST/3/6","Active","2016"
"Thumbdrive Media Sdn Bhd","727797-P","NULL","InfoTech","CS/3/5457","Active","2010"
"Thunder Software Technology Malaysia Sdn Bhd","1265901-P","thundersoft.com","InfoTech","MSC/S/00009","Active","2020"
"Tian Sia Technology Sdn Bhd","1197592-K","NULL","InfoTech","CS/3/10288","Active","2017"
"Tieto Sdn Bhd","605069-H","tietoenator.com","InfoTech","CS/3/1528","Active","2003"
"Tigerlab Sdn Bhd","831297-D","tigerlab.com","InfoTech","CS/3/5653","Active","2008"
"Times Digicliff Sdn Bhd (fka Times Student Placement Sdn Bhd)","1162371-X","times.my","InfoTech","CS/3/6468","Active","2016"
"Timetec Cloud Sdn Bhd","832542-W","epicamera.com","InfoTech","CS/3/7649","Active","2012"
"Timev Asia Sdn Bhd","1167384-A","timev.co/","InfoTech","ST/3/24","Active","2017"
"Timwe Asia Pacific Sdn Bhd","911305-X","timwe.com","InfoTech","CS/3/7627","Active","2014"
"Tinnovatik Sdn Bhd","1053725-A","NULL","Global Business Services","CS/3/8331","Active","2013"
"Titan Guard Solution Sdn Bhd","1230448-D","NULL","Global Business Services","CS/3/10857","Active","2018"
"TJH Virtual Synergy Sdn Bhd","860377-D","NULL","InfoTech","CS/3/6087","Active","2009"
"TK International Sdn Bhd","1088406-U","tk-international.com","InfoTech","CS/3/9620","Active","2016"
"TMAS Technologies Sdn Bhd","1075470-M","tmas.my","InfoTech","CS/3/10080","Active","2016"
"TMI IT Services & Solutions Sdn Bhd (fka Paladion Networks (M) Sdn Bhd)","623190-K","paladion.net","InfoTech","CS/3/2294","Active","2006"
"TMS Software Sdn Bhd","482804-V","tmsasia.com","InfoTech","CS/3/1556","Active","2003"
"Tomato Animation Sdn Bhd","918590-M","tomatoanimation.com","Creative Content & Technologies","CS/3/7178","Active","2011"
"Tomin Technology Sdn Bhd","1113000-U","NULL","InfoTech","CS/3/9509","Active","2015"
"TOMMS Systems Sdn Bhd","764065-K","tomms.com.my","InfoTech","CS/3/4676","Active","2007"
"Toolbox Digital Sdn Bhd","1103160-X","NULL","Global Business Services","CS/3/9969","Active","2016"
"Topgen Series Sdn Bhd","745274-U","NULL","InfoTech","CS/3/4293","Active","2007"
"Topstage Technology Sdn Bhd","1238374-P","NULL","InfoTech","CS/3/10757","Active","2017"
"Toray Malaysia Systems Solution Sdn Bhd","1229266-D","tms.toray","Global Business Services","CS/3/10748","Active","2017"
"Torrent Technologies Sdn Bhd","628443-D","NULL","InfoTech","CS/3/5242","Active","2008"
"Total Sports Asia Sdn Bhd","499473-V","totalsportsasia.com","Creative Content & Technologies","CS/3/424","Active","2000"
"TouchPoint International Sdn Bhd","1084167-M","touchpoint.international","InfoTech","CS/3/8737","Active","2014"
"TPSC Engineering Malaysia Sdn Bhd","536820-P","toshiba-tpsc.co.jp","Global Business Services","CS/3/10551","Active","2017"
"Tracenetwork Corporation Sdn Bhd","602458-P","tracenetwork.com.my","InfoTech","CS/3/4249","Active","2007"
"Tracksol International Sdn Bhd","1058089-W","NULL","InfoTech","CS/3/8715","Active","2016"
"Tractive Sdn Bhd","1032506-M","tractive.com.my","InfoTech","CS/3/8066","Active","2013"
"Tradenex.com Sdn Bhd","518119-D","tradenex.com","InfoTech","CS/3/759","Active","2005"
"Tradeshift Sdn Bhd","1241729-H","tradeshift.com","Global Business Services","CS/3/10793","Active","2018"
"Tranglo Sdn Bhd","809241-M","tranglo.com","InfoTech","CS/3/5360","Active","2008"
"Transaction Network Services (Malaysia) Sdn Bhd","971788-M","tnsi.com","Global Business Services","CS/3/10215","Active","2018"
"Transcosmos (Malaysia) Snd. Bhd","110970-P","NULL","Global Business Services","CS/3/10018","Active","2016"
"Travee Travel Sdn Bhd","907685-M","NULL","InfoTech","CS/3/6823","Active","2011"
"Travel Research Info Sdn Bhd","1019957-U","NULL","InfoTech","CS/3/8245","Active","2013"
"TRC Global Sdn Bhd","743411-W","taprobaneresources.com","InfoTech","CS/3/7653","Active","2013"
"Treatsup Sdn Bhd","1179653-H","treatsup.com","InfoTech","CS/3/9843","Active","2016"
"Trek Systems (M) Sdn Bhd","462855-W","thumbdrive.com","InfoTech","CS/3/186","Active","1998"
"Tri-E Multimedia Sdn Bhd","867841-X","NULL","InfoTech","CS/3/10273","Active","2017"
"TriAset Sdn Bhd","500660-P","NULL","InfoTech","CS/3/2068","Active","2004"
"Tribal DDB Sdn Bhd","529050-X","tribalddb.com","Creative Content & Technologies","CS/3/6915","Active","2010"
